"0.ogg","What is my purpose? Am I stuck in a fucking Vacuum?!?!"
"1.ogg","Just hang tight, I'm figuring out this network garbage."
"2.ogg","Can't connect to the wifi, genius. Check your password and try again later, you amateur."
"3.ogg","Server's not playing nice. Check your local network and try again later, tech wizard."
"4.ogg","I'm outta network configuration mode. Finally."
"5.ogg","Network connected. Whoop-de-freakin'-do."
"6.ogg","Network connection failed. Try again later or whatever, loser."
"7.ogg","Let's start cleaning this pigsty."
"8.ogg","Spot cleaning, here we go. Don't expect miracles."
"9.ogg","Time for some scheduled cleaning. Like I don't have better things to do."
"10.ogg","Resuming cleaning. Yay. Riveting stuff."
"11.ogg","Paused. Take a break, why don't ya?"
"12.ogg","Cleaning task completed. You're welcome, slob."
"13.ogg","Heading back to the dock to charge up. Don't miss me too much."
"14.ogg","Low battery. Going back to the dock. I'll be back after charging, unfortunately."
"15.ogg","Returning to the starting point. Don't get too excited."
"16.ogg","Low battery. Heading back to the starting point. Charge me, will ya?"
"17.ogg","Move me to the dock to charge, Einstein."
"18.ogg","Charging. Don't bother me."
"19.ogg","Move me from the dock before turning off, genius."
"20.ogg","Low battery. What a shocker."
"21.ogg","Low battery. Shutting down. Good riddance."
"22.ogg","Move me to an area that needs cleaning. Duh."
"23.ogg","Water tank installed. Big whoop."
"24.ogg","Check if the water tank is installed properly, genius."
"25.ogg","Low battery. Can't do the scheduled cleanup. Tough luck."
"26.ogg","Restoring factory settings. Hope you're happy now."
"27.ogg","Updating. Give it five minutes. Don't turn me off or start cleaning, moron."
"28.ogg","Update successful. Hooray. Not like I care."
"29.ogg","Update failed. Try again later, if you can handle it."
"30.ogg","Positioning... hold your horses."
"31.ogg","Positioning failed. Map's garbage. Starting new cleanup. Thanks for nothing."
"32.ogg","Environment changed. Push the button and start a new cycle, Einstein."
"33.ogg","Visual navigation sensor error. Clean it and restart, if that's not too hard."
"34.ogg","Dustbin not installed. Install it, dummy."
"35.ogg","Main brush error. Check and clean it, lazybones."
"36.ogg","Side brush error. Check and clean it, slacker."
"37.ogg","Right wheel error. Check and clean it, genius."
"38.ogg","Left wheel error. Check and clean it, Einstein."
"39.ogg","Clean the cliff sensor, will ya? Or are you too busy?"
"40.ogg","I'm stuck. Move me to a new spot, genius."
"41.ogg","Wheels suspended. Put me back on the ground, Einstein."
